Total,Tips
2.7,0.08
2.1,1
3,1
2.4,0
2.1,0
2.7,0
2.7,1
4.5,1
4.04,2
2.4,0
2.77,1
2.1,1
2.4,1
7.27,0
5.25,0
8.36,1
7.75,0
3.85,0
11.45,0
2.1,0
3,0.76
5.9,1
2.7,0.5
2.4,1
3,0.76
5.25,0
2.1,0
1.85,0
10.44,2
5.35,0
3.89,1
5.25,0.53
3.65,0
1.85,0
4.2,0
6.99,2
16.45,2.24
2.7,0
6.3,0
9.78,1
6.59,1.88
2.7,1
4.79,2
10.23,1
7.1,0
7.95,0
4.51,0
8.38,0
5.99,0
9.46,2
8.74,2
3.09,0
2.55,1
4.04,0
4.65,1
3.7,0
8.36,0.5
3.7,0
1.85,1
3.7,0.5
3.87,1
3.5,1
5.99,0
4.04,0
9.94,2
3.75,0
5,0
1.85,0
4.04,1
1.85,0
2.1,0
7.97,0
7.12,0
9.49,0
4.54,0
3.5,1
2.4,0.5
4.04,0
2.1,1
3.5,1
4.19,0
2.7,0.6
4.04,0
3.7,1
2.4,0
7.84,0
3.5,0
4.4,0
1.85,0
3.7,0
9.46,0
8.64,1
2.1,0.5
4.54,0
4.22,0
2.1,1
3.5,1
8.99,0
7.65,0
2,0.25
6.74,1
8.09,0
3.24,0
3.4,0
2.92,0
9.23,1
3.2,0
9.01,0
3.24,1
1.85,0
7.2,0
3.01,0
9,0
9.63,0
2.7,0
4.54,0
2.4,1
1.85,1
9.57,1
10.21,0
6.74,0
7.53,1
1.85,0.5
4.68,0
1.85,1
3.5,1
5.19,0
3.24,1
2.1,0
4.62,1
5.58,1
4.16,2
5.25,0
4.49,0
4.22,0
2.5,0
3.5,0
2.9,0
7.84,2
2.5,0
5.39,2
2.4,0.5
7.7,1
3,1
2.7,0
2.7,1
4.04,2
4.1,0
5.25,1
3,1
1.85,0.5
5,1
3,0.76
4.58,1
7.35,0
4.04,1
5.25,0
3.85,0
4.8,0
2.1,1
4.6,1
2.7,0.6
2.1,0.5
16.25,1
4.18,0
4.48,1
4.48,0
7.42,0
4.5,1
7.7,0
7.07,0.36
2.1,0.5
7.09,1
2.4,0
3.85,1
2.1,1
2.7,2
9.51,3
2.1,0
7.12,1
2.1,1
9.91,0
2.65,0.6
4.5,0
2.4,0
3.01,0
10.51,0
5.65,0
5.99,0
10.67,0
2.7,1
4.97,0
1.85,1
8.69,1
10.49,1.77
7.9,0
4.18,1
3.5,0
3.47,1
2.7,1
3.24,0
7.1,1
8.59,2
5.75,1
7,1
3.47,0
5.99,1
11.1,1
3,0
4.39,0
1.85,0
2.1,0
3.85,0.5
2.9,1
4.5,0
3.24,0
4.44,1.2
2.4,0
5.95,0
1.85,0
3,1
16.44,0
3.57,0
5.94,0.5
2.4,0.41
7.79,1
2.1,0
10.45,2
1.85,0
5.25,2
3.19,1
2.54,0
5.7,0
2,1.84
2.1,0
2,0
3.01,0
6.94,2
3.95,0
5.99,1
5.47,1
4.04,0.5
11.56,0
4.12,0
3.5,0
2.5,0
4.16,1
14.31,2
20.93,2
2.78,0
5.33,0
4.5,1
5.75,0
4.04,0
8.77,0
6.5,0
2.75,0
5.25,1
13,0
2.4,1.41
5.25,0
3.24,1
1.85,1
3.24,1
3.76,1
4.52,1
2.1,1
5.75,0
8.43,0
1.85,0.5
1.85,1
1.85,1
7.05,1
13,0
6.48,2
3.7,1
6.32,0
3.7,0
1.85,0
2.5,0.5
4.5,1
4.58,1
3,0.76
2.7,0.08
3.5,1
9.34,0
6.35,1
4.73,0
4.04,0
9.29,1
5.55,1
3.75,0
2.7,0
2.1,1
6.65,0
4.2,1
3.57,1
1.85,1
4.75,0
4.4,1
6.3,1
10.24,0
4.54,0.01
7.04,1
2.4,0.21
2.7,0.6
6.12,0.39
2.7,0
5.42,1
1.85,1
2.4,0
4.04,0
7.24,0
1.85,0.5
3,0.76
6.65,1
14.65,0
7.75,0
2.4,1
3.1,0.5
4.25,0
7.7,2
7.98,1
4.04,1
2.7,0
10.45,0
3.4,0
5.99,1
4.04,1
7.05,1
3.57,0.5
3.5,1
3.5,0
5.99,1
4.5,2
3.47,1
9.49,1
4.94,0
3.89,0
9.67,0
4.68,0
3.5,1
7.69,1
2.4,0
4.8,1
4.16,1
3.85,2
2.75,1
3.24,0
2.7,1
1.85,0.5
3.85,0
4.1,0
7.19,2
4.04,0
3,1
2.5,1
2.7,0
2.1,0
3.7,0
2.1,1
2.1,0
4.79,0
4.4,1
10.46,1
7.64,2
2.1,0
7.5,0
3,0
6.95,0.49
6.6,1
3.5,0
3.5,0
6.66,1
9.39,1
4.54,0
3.47,0.25
7,2
2.65,0.14
6.51,0
3.7,1
1.85,0
3.24,0
4.04,0
3.47,0
3.95,0.5
4.64,0
2.4,1
4.78,1
3.47,0
2.78,1
6.6,1
3.85,0.5
3.24,1
4.73,0
2.1,1
3.65,0
1.85,0
3.76,0
2.4,0
1.85,0
1.85,0
2.78,0
10.21,2
2.78,1
10.54,1
19.73,0
12.54,1
3.95,0
4.68,0
3.76,0
11.94,0
2.7,1
1.85,0
4.19,1
5.85,1
1.9,0
15.06,0
5.56,1
8.65,1.64
4.79,1
5.36,0.21
4.22,0.44
2.1,1
13.98,0
2.7,0.23
3.5,1
4.5,1
6,0.6
5.9,1
4.09,2
3.75,0
5.17,0
2.7,2
2.1,0
2.4,0
4.04,0
5.1,0
3.63,0
6.5,1
3,1
6.35,1
2.4,0
2.1,1
2.4,0.41
9.03,2
2.55,0
7.6,0
10.35,1
3.5,1
2.7,0.6
3,0.76
2.4,1
4.64,2
8.1,0
9.23,1.03
9.85,0
5.9,1
2.4,0.41
1.85,0
6.15,0
5.65,0
3,0
2.1,1
4.54,0
1.85,0
6.25,0.5
2.75,1
2.1,0
3.09,0
2.7,0
4.39,0
3.5,0
3.57,1
4.64,0.5
8.61,0
2.75,0
7.75,0
4.99,0
5.99,1
7.04,2
5.25,0
5.94,2
5.8,0
2.75,0
2.7,0
5.23,0
6.2,1
5.99,0
3.7,1
9.7,0
3.57,0
4.2,1
2.4,0.41
3.48,1
2.75,1
4.54,0
2.75,0
1.85,0
7.59,1
18.49,3
4.6,0
1.85,1
4.68,0
4.68,1.95
4.52,0
3.45,1
4.91,0
7.74,1.64
10.85,1
2.4,0
2.5,0
3.55,1
10.8,0.43
8.89,1.4
3.5,0
4.19,0
4.5,1
4.04,3
4.97,1.5
4.7,0.92
5.44,2
2.75,0
2.75,0
2.75,0
5.99,0
2.4,1
6.19,0.5
7.72,1
6.47,0
3.24,0
5.09,0
10.21,1
5.9,0
1.98,0
5.1,0
4.64,0
6.97,1
7.05,0
4.81,0
1.85,0
6.48,0
5.99,0
6.94,1
7.32,0
3.47,0
5.8,1
4.11,0
3.01,1
3.7,0
3.8,0.9
3.5,0
4.75,0
5.19,0
2.5,1
8.44,1
6.28,1
12.54,1
1.85,0
2.1,0.5
3.5,0
3,1
4.04,1
4.81,0
9.49,1
1.85,0
3.24,0
2.5,0
4.5,1
7.84,1
8.84,0
32.98,0
7.99,1
5.47,1
7.19,1
2.1,0
3.5,1
6.44,1
4.48,0
5.9,0
7.84,1
2.1,0
4.04,1
6.2,0
8.25,0
5.98,1
3.75,0
8.8,1
2.4,0
5.25,0.5
2.1,1
2.1,1
5.85,0
3.5,0
3,0
2.7,0.6
5.94,0
2.75,1
12.2,0
4.77,1
3.7,1
6.32,0
10.34,0
5.35,0
6.97,1
2.7,0
2.95,0
6.45,0
3.85,1
6.3,1
4.19,0
5,0
5.25,0
9.26,1
10.04,1
8.79,0
6.53,1
5.42,0
3.95,0
3.8,0
4.69,0
3.57,0
2.7,0
3.5,0.5
7.49,1
2.4,0
6.2,2
2.7,0
10.35,1.87
4.01,1
4.91,0
3.47,0
4.5,0
9,0
2.75,0
3.5,1
2.7,0
7.4,0
5.99,0.5
7.02,0
2.4,0
3.5,0
6.02,0
3.57,0
3.85,0.84
6.94,1
2.1,1
6.52,0
2.85,0.5
5.96,0
4.85,1
7.88,0
3.5,0
17,0
4.7,2
3,1
4.54,1
5.4,0
4.04,1
3.15,0
3.85,0
4.68,1
9.05,0
7.35,0
3,1
9.1,0
12.47,2
4.75,1
4.22,1
5.98,0
4.99,0
4.19,1
2.1,0
2.1,0.5
2.93,0
7.97,1
1.85,1
4.19,0.5
11.03,0
3.76,0.94
7.68,0.5
7.35,0
2.78,0
5.25,0
3.85,1
3.5,1
5.19,1
4.94,1
3.5,0
10.91,0
5.99,0
2.4,1
10.18,0
1.85,0.25
2.4,0
4.16,2.51
2.55,1
8.49,1.8
5.02,1
1.85,0
2.79,0
6.54,1
6.14,0
9.56,2.5
1.85,0.5
3.47,0
10.5,0
8.84,0
6.25,0
2.5,0
2.55,0
7.04,0
3.9,0
9.4,0
2.75,1
2.4,0
2.5,0
5.6,1
4.99,0.7
4.2,0
2.92,1
2.4,1
1.85,0
5.25,1
9.9,0
5.25,0
5.9,0
8.75,1
6.02,0
7.44,1
6.94,0
2.7,1
21,2
12.15,0
6.6,0
6.37,0
2.7,1
9.75,2
9.43,2
5.75,1
2.7,0.5
6.3,0
2.65,1
6.78,3
7.1,0
17.17,4
8.26,1
7.65,0
3.7,1
4.5,1
8.48,2
15.49,2
1.85,0
7.74,0
2.7,1
4.99,0
7.92,1
3.7,1
13.25,2
5.68,1
7.12,0
9.04,2
13.63,2
3,1
10.38,1
12.35,1
4.71,0
7.65,0
9.85,0
10.89,1
3.7,1
2.4,0
3.9,2.79
7.55,0
5.58,1
2.75,0
2.4,0
6.73,1
11.95,2
7,0
4.95,1
2.75,0
2.75,1
4.5,0
9.84,2
3.75,1
14.64,0
3.57,0
4.88,0
3.95,0
14.45,3
4.04,0
1.85,0.5
3.5,0.22
7.73,2
7.84,0
5.99,0
8.6,0
14.08,3
3.24,0
6.8,1
6.45,0.03
5.4,0
4.32,0
2.7,0
2.1,1
5.5,0
6.2,0
2.7,1.08
3.95,1
6.95,0
4.54,0
1.85,0
7.12,0
8.55,0
4.25,1
3.7,1
6.95,1
7.26,1
3.9,0
4.16,0
10.49,0
7.5,2
3.45,0
2.75,0
9.79,0
5.28,1
4.16,1
5,1
6.41,0
12.68,1
2.1,0
9.39,0
2.69,0
3.5,0.7
4.04,0
2.5,0
6.35,1
2.1,0
4.94,0
9.5,0
11,0
4.25,0
4.54,0
3.68,0.5
7.55,2
7.87,2
12.83,2
9,2
4.62,1
4.62,1.01
4.62,1
7.12,0
4.62,1
4.62,0
2.1,0.1
1.85,0
8.49,2
6,1
7.4,0
3.01,1
6.29,1
3,0
2.4,1
5.76,0
16.14,0
12.96,2
4.87,1
3.24,1
1.85,1
15.69,2
5.2,1
7.91,0
15.35,2
3.93,1
3.75,1.95
3.7,0
3.5,1
12.47,2
1.85,0.2
2.1,1
8.99,0
6.67,1
5.11,0
2.7,1
6.6,0
5.99,0
4.18,2
10.9,1
1.85,1
2.84,1
1.85,0
3.7,1
2.7,0
7.54,1
3.47,1
5.9,0
3.24,1
5.56,0
2.4,0
3.7,0
4.6,1
14,2
7.84,0
6.37,0
3.5,0
8.24,0
3.7,0
1.85,0
3.85,2.84
2.1,0
6.14,1
4.68,1
3.98,0
2.69,0
2.78,1
8.09,0
5.94,0
2.1,0
5.09,4.5
11.05,0
8.04,0
7.96,0
6.14,0
4.68,0
2.65,1
2.7,0.08
4.2,0
6.73,1
2.7,0
3.47,0
8.02,1
